case,k,rank_source,point_id,num_observation,noise_std,rel_l2,reliability_raw_recal,training_stability_recal,structural_stability_recal,set_relation
stokes_poiseuille,10,R_topk,obs6_noise150,6,0.15,0.0452441722154617,0.4452142785914755,0.6296703806024737,0.7539883308400745,overlap
stokes_poiseuille,10,R_topk,obs12_noise175,12,0.175,0.0360220074653625,0.4954607422268418,0.3686083119769662,0.4645043214565761,R_only
stokes_poiseuille,10,R_topk,obs6_noise125,6,0.125,0.0422788485884666,0.5110321786914034,0.6944667803596655,0.7891812988900971,overlap
stokes_poiseuille,10,R_topk,obs10_noise200,10,0.2,0.0375454351305961,0.5473952605497631,0.2924054288296916,0.958424189775783,R_only
stokes_poiseuille,10,R_topk,obs8_noise150,8,0.15,0.0445965714752674,0.5608834783495058,0.8554388682064342,0.8035902203451382,overlap
stokes_poiseuille,20,rel_l2_topk,obs8_noise200,8,0.2,0.0526181422173976,0.3101489293724224,0.54547496030042,0.576071285447203,overlap
stokes_poiseuille,20,rel_l2_topk,obs6_noise200,6,0.2,0.0516169555485248,0.2790090840009687,0.3461669822581711,0.573899051300346,overlap
stokes_poiseuille,20,rel_l2_topk,obs8_noise175,8,0.175,0.0485267229378223,0.4304847153353903,0.7340372562526654,0.7049765082100687,overlap
stokes_poiseuille,20,rel_l2_topk,obs6_noise175,6,0.175,0.0483673773705959,0.368039758773961,0.5066664223322792,0.6890226531371281,overlap
stokes_poiseuille,20,rel_l2_topk,obs6_noise150,6,0.15,0.0452441722154617,0.4452142785914755,0.6296703806024737,0.7539883308400745,overlap
stokes_poiseuille,20,rel_l2_topk,obs8_noise150,8,0.15,0.0445965714752674,0.5608834783495058,0.8554388682064342,0.8035902203451382,overlap
stokes_poiseuille,20,rel_l2_topk,obs6_noise125,6,0.125,0.0422788485884666,0.5110321786914034,0.6944667803596655,0.7891812988900971,overlap
stokes_poiseuille,20,rel_l2_topk,obs8_noise125,8,0.125,0.0408814772963523,0.6918694080243172,0.9164052549887906,0.864517596765115,overlap
stokes_poiseuille,20,rel_l2_topk,obs6_noise100,6,0.1,0.0394829995930194,0.5637341619110343,0.7139796344605636,0.7899197879444031,overlap
stokes_poiseuille,20,rel_l2_topk,obs12_noise200,12,0.2,0.0377631522715091,0.4019578970611175,0.2694464512428685,0.3917411638563227,overlap
stokes_poiseuille,20,rel_l2_topk,obs10_noise200,10,0.2,0.0375454351305961,0.5473952605497631,0.2924054288296916,0.958424189775783,overlap
stokes_poiseuille,20,rel_l2_topk,obs8_noise100,8,0.1,0.0373924821615219,0.8024945175226857,0.9434365896847678,0.9075801587930462,rel_only
stokes_poiseuille,20,rel_l2_topk,obs12_noise175,12,0.175,0.0360220074653625,0.4954607422268418,0.3686083119769662,0.4645043214565761,overlap
stokes_poiseuille,20,rel_l2_topk,obs10_noise175,10,0.175,0.035425167530775,0.6544918163410114,0.4475220072998269,0.9568007497859838,overlap
stokes_poiseuille,20,rel_l2_topk,obs6_noise050,6,0.05,0.0346102304756641,0.6200356230493873,0.6758822122693846,0.7012655855794475,overlap
stokes_poiseuille,20,rel_l2_topk,obs12_noise150,12,0.15,0.0344741530716419,0.577468717639112,0.4655185270265189,0.5199893030922715,overlap
stokes_poiseuille,20,rel_l2_topk,obs10_noise150,10,0.15,0.0334948748350143,0.7472794167318677,0.5878343488549433,0.9556850114376256,rel_only
stokes_poiseuille,20,rel_l2_topk,obs12_noise125,12,0.125,0.0331441685557365,0.6518923296654238,0.555017506420256,0.5890402723044443,overlap
stokes_poiseuille,20,rel_l2_topk,obs12_noise100,12,0.1,0.0320701673626899,0.7111811786860197,0.6323418042216096,0.6456560514334834,rel_only
stokes_poiseuille,20,rel_l2_topk,obs10_noise125,10,0.125,0.0318016149103641,0.812399211543626,0.690257736547735,0.9543485833811556,rel_only
stokes_poiseuille,20,R_topk,obs6_noise200,6,0.2,0.0516169555485248,0.2790090840009687,0.3461669822581711,0.573899051300346,overlap
stokes_poiseuille,20,R_topk,obs8_noise200,8,0.2,0.0526181422173976,0.3101489293724224,0.54547496030042,0.576071285447203,overlap
stokes_poiseuille,20,R_topk,obs6_noise175,6,0.175,0.0483673773705959,0.368039758773961,0.5066664223322792,0.6890226531371281,overlap
stokes_poiseuille,20,R_topk,obs12_noise200,12,0.2,0.0377631522715091,0.4019578970611175,0.2694464512428685,0.3917411638563227,overlap
stokes_poiseuille,20,R_topk,obs8_noise175,8,0.175,0.0485267229378223,0.4304847153353903,0.7340372562526654,0.7049765082100687,overlap
stokes_poiseuille,20,R_topk,obs6_noise150,6,0.15,0.0452441722154617,0.4452142785914755,0.6296703806024737,0.7539883308400745,overlap
