experiment_name,case,label,budget_name,num_observation,noise_std,seed,run_name,epochs,num_collocation,num_boundary,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2,crosses_threshold
budget_control_v1,burgers,transition_obs48_noise005,stronger_budget,48,0.05,51,burgers_transition_obs48_noise005_stronger_budget_seed51,1500,4096,512,0.013264507986605167,0.9452840392125391,0.026472361758351326,0.006521068979054689,0.0004113316535949707,0.00016096862169444215,0.0008902431695475258,0.9200843056617277,0.9569058011111565,0.9475415193839689,0.9566045306933035,0.025993,0
budget_control_v1,burgers,transition_obs48_noise005,stronger_budget,48,0.05,52,burgers_transition_obs48_noise005_stronger_budget_seed52,1500,4096,512,0.02984539419412613,0.938911712379008,0.03320334106683731,0.007614943198859692,0.0022614002227783203,3.2328369771605923e-06,0.0018235400530053508,0.9090845408480573,0.9579650665297318,0.9331985978771158,0.9553986442611269,0.025993,1
budget_control_v1,burgers,transition_obs48_noise005,stronger_budget,48,0.05,53,burgers_transition_obs48_noise005_stronger_budget_seed53,1500,4096,512,0.007330880966037512,0.9479919229134542,0.023428812623023987,0.005159109365195036,7.832050323486328e-05,2.6108079932827647e-06,0.0010407362799736478,0.925202714516813,0.9580181268293319,0.9519285916108094,0.9568182586968627,0.025993,0
budget_control_v1,burgers,seed_sensitive_obs32_noise010,baseline_budget,32,0.1,51,burgers_seed_sensitive_obs32_noise010_baseline_budget_seed51,500,2048,256,0.034094907343387604,0.9206400113596845,0.0604170560836792,0.012406902387738228,0.0044362545013427734,0.0002664194510119595,0.004128686479083823,0.8437162580478249,0.9559292949662622,0.9289742848553939,0.9539402075692572,0.025993,1
budget_control_v1,burgers,seed_sensitive_obs32_noise010,baseline_budget,32,0.1,52,burgers_seed_sensitive_obs32_noise010_baseline_budget_seed52,500,2048,256,0.05280173197388649,0.8843418481949742,0.07036294043064117,0.01989610865712166,0.0029158592224121094,0.005619725087679035,0.008735527543154702,0.804585010064617,0.8705150740269478,0.9073028454931583,0.9549644631951736,0.025993,1
budget_control_v1,burgers,seed_sensitive_obs32_noise010,baseline_budget,32,0.1,53,burgers_seed_sensitive_obs32_noise010_baseline_budget_seed53,500,2048,256,0.01984586752951145,0.919958868031943,0.050585683435201645,0.010888541117310524,0.0009191632270812988,0.003937182852565643,0.0040703194756716845,0.8714210620467628,0.9099035451798263,0.942234207956454,0.9562766569447292,0.025993,0
budget_control_v1,burgers,seed_sensitive_obs32_noise010,stronger_budget,32,0.1,51,burgers_seed_sensitive_obs32_noise010_stronger_budget_seed51,1500,4096,512,0.03394584357738495,0.9347162659564812,0.039355840533971786,0.009238752536475658,0.0029508471488952637,4.77109936231124e-06,0.0033268129164466427,0.8969369584926962,0.9578604135459129,0.9291265533344343,0.9549411384528814,0.025993,1
budget_control_v1,burgers,seed_sensitive_obs32_noise010,stronger_budget,32,0.1,52,burgers_seed_sensitive_obs32_noise010_stronger_budget_seed52,1500,4096,512,0.05484621226787567,0.9170319550908987,0.05835309997200966,0.009179499931633472,0.004999816417694092,4.649772701521389e-06,0.007688895136766441,0.8523836314030397,0.9575857198638842,0.9046035234962287,0.9535549456004423,0.025993,1
budget_control_v1,burgers,seed_sensitive_obs32_noise010,stronger_budget,32,0.1,53,burgers_seed_sensitive_obs32_noise010_stronger_budget_seed53,1500,4096,512,0.020328741520643234,0.9395532139484802,0.03656527027487755,0.007984990254044533,0.0014657378196716309,6.825418877182589e-05,0.0036942864550297823,0.9030727896419506,0.9573933782661455,0.9418255594384071,0.9559211284474176,0.025993,0
budget_control_v1,burgers,failure_obs64_noise015,baseline_budget,64,0.15,51,burgers_failure_obs64_noise015_baseline_budget_seed51,500,2048,256,0.04463517293334007,0.9090765099898974,0.06414734572172165,0.023841682821512222,0.0019096732139587402,0.0017317683163644154,0.007389428527548225,0.8209317465847011,0.9423316702438417,0.9174122876424651,0.9556303354885819,0.025993,1
budget_control_v1,burgers,failure_obs64_noise015,baseline_budget,64,0.15,52,burgers_failure_obs64_noise015_baseline_budget_seed52,500,2048,256,0.060750484466552734,0.9059603368473035,0.06883372366428375,0.011586245149374008,0.005776464939117432,3.843983084412388e-05,0.014119897522853312,0.817475819445705,0.9569366121456939,0.8964099280763408,0.953018987721474,0.025993,1
budget_control_v1,burgers,failure_obs64_noise015,baseline_budget,64,0.15,53,burgers_failure_obs64_noise015_baseline_budget_seed53,500,2048,256,0.03621520474553108,0.918424977629231,0.05553066357970238,0.021615179255604744,0.0020377039909362793,0.0016580538714813966,0.008991183024698328,0.8483413288233033,0.9430369894641544,0.9267754606114467,0.9555461316180198,0.025993,1
budget_control_v1,burgers,failure_obs64_noise015,stronger_budget,64,0.15,51,burgers_failure_obs64_noise015_stronger_budget_seed51,1500,4096,512,0.024723384529352188,0.9382285723496491,0.037328507751226425,0.009222369641065598,0.00043213367462158203,5.072732819540663e-06,0.006496594810656603,0.9006847261222596,0.9576585169191295,0.9379798999508386,0.9565911464063686,0.025993,0
budget_control_v1,burgers,failure_obs64_noise015,stronger_budget,64,0.15,52,burgers_failure_obs64_noise015_stronger_budget_seed52,1500,4096,512,0.05271491780877113,0.9129907200870706,0.06421034038066864,0.009808563627302647,0.005688905715942383,2.229640986362882e-06,0.01338316847393775,0.8342307974748372,0.9572364440352114,0.9074159344623766,0.9530797043758575,0.025993,1
budget_control_v1,burgers,failure_obs64_noise015,stronger_budget,64,0.15,53,burgers_failure_obs64_noise015_stronger_budget_seed53,1500,4096,512,0.02256530523300171,0.9352070149154057,0.044949375092983246,0.006968172732740641,0.0015900731086730957,1.8928860957197495e-06,0.007939309316311635,0.8875021298146617,0.9575888743947414,0.9398971871225744,0.9558398683296451,0.025993,0
