case,label,strategy,metric,n_seed,baseline_mean,strategy_mean,delta_mean,delta_std,bootstrap_ci_low,bootstrap_ci_high,cohens_dz,ci_crosses_zero
stokes_poiseuille,near_boundary_obs12_noise020,dim_guided_v2,numerical_accuracy_recal,5,0.6162938129502047,0.6132049568579766,-0.0030888560922280386,0.036263971691742565,-0.0265907072457272,0.03324579081725047,-0.07618461930918591,1
stokes_poiseuille,near_boundary_obs12_noise020,dim_guided_v2,structural_stability_recal,5,0.619962539411897,0.5047034555941122,-0.11525908381778485,0.0705964718916774,-0.1860673926359734,-0.06947943359281293,-1.4602834364661572,0
stokes_poiseuille,near_boundary_obs12_noise020,naive_region_aware_v1,rel_l2,5,0.03661385551095002,0.037285803630948015,0.0006719481199979983,0.01103774981764319,-0.008680267632007582,0.01002416387200358,0.054450289180029,1
stokes_poiseuille,near_boundary_obs12_noise020,naive_region_aware_v1,reliability_raw_recal,5,0.5580775056023028,0.5861413312557098,0.028063825653406805,0.16276499410549994,-0.11776446296334528,0.162183956382362,0.15421650635528053,1
stokes_poiseuille,near_boundary_obs12_noise020,naive_region_aware_v1,physics_consistency_recal,5,0.7036360466087763,0.7595620301386411,0.05592598352986474,0.24028072680020654,-0.1475299239476508,0.29029771615438527,0.2081803273140486,1
stokes_poiseuille,near_boundary_obs12_noise020,naive_region_aware_v1,training_stability_recal,5,0.2924176234383332,0.3396430455253833,0.0472254220870502,0.1857841407400588,-0.10161373545381949,0.2284160242293848,0.2273590278096217,1
stokes_poiseuille,near_boundary_obs12_noise020,naive_region_aware_v1,numerical_accuracy_recal,5,0.6162938129502047,0.554484666071499,-0.06180914687870569,0.36845092309519784,-0.383899835827772,0.25207358799043444,-0.15004381358691316,1
stokes_poiseuille,near_boundary_obs12_noise020,naive_region_aware_v1,structural_stability_recal,5,0.619962539411897,0.6908755832873151,0.07091304387541805,0.49198196647935377,-0.32387615740826503,0.5261883632740918,0.12892048684757162,1
stokes_poiseuille,near_boundary_obs12_noise020,non_dominant_guided_v3,rel_l2,5,0.03661385551095002,0.03636303693056102,-0.00025081858038900203,0.0004100073377311367,-0.0006599441170692611,0.00010821744799617699,-0.5471583985529362,1
stokes_poiseuille,near_boundary_obs12_noise020,non_dominant_guided_v3,reliability_raw_recal,5,0.5580775056023028,0.5114544576364598,-0.04662304796584303,0.04599713888189498,-0.08907071776666523,-0.008634560830861827,-0.9065981676603216,0
stokes_poiseuille,near_boundary_obs12_noise020,non_dominant_guided_v3,physics_consistency_recal,5,0.7036360466087763,0.5690256028762163,-0.13461044373256006,0.1722563774434967,-0.28343857568889863,0.0068378908831491225,-0.6989537505307117,1
stokes_poiseuille,near_boundary_obs12_noise020,non_dominant_guided_v3,training_stability_recal,5,0.2924176234383332,0.3062302990013672,0.013812675563034041,0.031396083473056446,-0.00555401948267244,0.045843971275896074,0.39350234925448807,1
stokes_poiseuille,near_boundary_obs12_noise020,non_dominant_guided_v3,numerical_accuracy_recal,5,0.6162938129502047,0.6180792319322002,0.0017854189819954762,0.010335362729646223,-0.008513908678205487,0.008923281013000722,0.15451100523482117,1
stokes_poiseuille,near_boundary_obs12_noise020,non_dominant_guided_v3,structural_stability_recal,5,0.619962539411897,0.5524826967360555,-0.06747984267584142,0.0717726933167453,-0.13330936542779107,-0.009131960029077051,-0.8409299323254944,0
